Southampton,         2,1,Norwich City
Liverpool,           5,2,Everton
Sheffield United,    0,2,Newcastle United
Arsenal,             1,2,Brighton & Hove Albion
Everton,             3,1,Chelsea
Tottenham Hotspur,   5,0,Burnley
Watford,             0,0,Crystal Palace
AFC Bournemouth,          0,3,Liverpool
Manchester City,     1,2,Manchester United
Aston Villa,         1,4,Leicester City
Newcastle United,    2,1,Southampton
Norwich City,        1,2,Sheffield United
Brighton & Hove Albion,2,2,Wolverhampton Wanderers
West Ham United,     1,3,Arsenal
Liverpool,           2,0,Watford
Chelsea,             0,1,AFC Bournemouth
Sheffield United,    2,0,Aston Villa
Leicester City,      1,1,Norwich City
Burnley,             1,0,Newcastle United
Southampton,         0,1,West Ham United
Wolverhampton Wanderers,1,2,Tottenham Hotspur
Manchester United,   1,1,Everton
Arsenal,             0,3,Manchester City
Crystal Palace,      1,1,Brighton & Hove Albion
Everton,             0,0,Arsenal
Aston Villa,         1,3,Southampton
Newcastle United,    1,0,Crystal Palace
Norwich City,        1,2,Wolverhampton Wanderers
Brighton & Hove Albion,0,1,Sheffield United
AFC Bournemouth,          0,1,Burnley
Manchester City,     3,1,Leicester City
Watford,             2,0,Manchester United
Tottenham Hotspur,   0,2,Chelsea
Tottenham Hotspur,   2,1,Brighton & Hove Albion
Aston Villa,         1,0,Norwich City
Chelsea,             0,2,Southampton
Everton,             1,0,Burnley
Sheffield United,    1,1,Watford
Crystal Palace,      2,1,West Ham United
AFC Bournemouth,          1,1,Arsenal
Manchester United,   4,1,Newcastle United
Leicester City,      0,4,Liverpool
Wolverhampton Wanderers,3,2,Manchester City
Brighton & Hove Albion,2,0,AFC Bournemouth
Newcastle United,    1,2,Everton
Southampton,         1,1,Crystal Palace
Watford,             3,0,Aston Villa
Norwich City,        2,2,Tottenham Hotspur
West Ham United,     1,2,Leicester City
Burnley,             0,2,Manchester United
Arsenal,             1,2,Chelsea
Liverpool,           1,0,Wolverhampton Wanderers
Manchester City,     2,0,Sheffield United
Burnley,             1,2,Aston Villa
Brighton & Hove Albion,1,1,Chelsea
Newcastle United,    0,3,Leicester City
Southampton,         1,0,Tottenham Hotspur
Watford,             2,1,Wolverhampton Wanderers
Manchester City,     2,1,Everton
Norwich City,        1,1,Crystal Palace
West Ham United,     4,0,AFC Bournemouth
Arsenal,             2,0,Manchester United
Liverpool,           2,0,Sheffield United
Sheffield United,    1,0,West Ham United
Crystal Palace,      1,1,Arsenal
Wolverhampton Wanderers,1,1,Newcastle United
Chelsea,             3,0,Burnley
Everton,             1,0,Brighton & Hove Albion
Manchester United,   4,0,Norwich City
Leicester City,      1,2,Southampton
Tottenham Hotspur,   0,1,Liverpool
AFC Bournemouth,          0,3,Watford
Aston Villa,         1,6,Manchester City
Watford,             0,0,Tottenham Hotspur
Manchester City,     2,2,Crystal Palace
Arsenal,             1,1,Sheffield United
Norwich City,        1,0,AFC Bournemouth
West Ham United,     1,1,Everton
Southampton,         2,3,Wolverhampton Wanderers
Brighton & Hove Albion,1,1,Aston Villa
Newcastle United,    1,0,Chelsea
Burnley,             2,1,Leicester City
Liverpool,           2,0,Manchester United
Aston Villa,         2,1,Watford
Everton,             2,2,Newcastle United
Sheffield United,    0,1,Manchester City
AFC Bournemouth,          3,1,Brighton & Hove Albion
Crystal Palace,      0,2,Southampton
Chelsea,             2,2,Arsenal
Leicester City,      4,1,West Ham United
Tottenham Hotspur,   2,1,Norwich City
Manchester United,   0,2,Burnley
Wolverhampton Wanderers,1,2,Liverpool
West Ham United,     0,2,Liverpool
Leicester City,      2,2,Chelsea
Liverpool,           4,0,Southampton
Newcastle United,    0,0,Norwich City
West Ham United,     3,3,Brighton & Hove Albion
Crystal Palace,      0,1,Sheffield United
Watford,             2,3,Everton
AFC Bournemouth,          2,1,Aston Villa
Manchester United,   0,0,Wolverhampton Wanderers
Burnley,             0,0,Arsenal
Tottenham Hotspur,   2,0,Manchester City
Everton,             3,1,Crystal Palace
Brighton & Hove Albion,1,1,Watford
Sheffield United,    2,1,AFC Bournemouth
Wolverhampton Wanderers,0,0,Leicester City
Southampton,         1,2,Burnley
Norwich City,        0,1,Liverpool
Aston Villa,         2,3,Tottenham Hotspur
Arsenal,             4,0,Newcastle United
Chelsea,             0,2,Manchester United
Manchester City,     2,0,West Ham United
Chelsea,             2,1,Tottenham Hotspur
Sheffield United,    1,1,Brighton & Hove Albion
Burnley,             3,0,AFC Bournemouth
Southampton,         2,0,Aston Villa
Crystal Palace,      1,0,Newcastle United
Leicester City,      0,1,Manchester City
Wolverhampton Wanderers,3,0,Norwich City
Manchester United,   3,0,Watford
Arsenal,             3,2,Everton
Liverpool,           3,2,West Ham United
Norwich City,        1,0,Leicester City
Brighton & Hove Albion,0,1,Crystal Palace
Newcastle United,    0,0,Burnley
West Ham United,     3,1,Southampton
AFC Bournemouth,          2,2,Chelsea
Watford,             3,0,Liverpool
Tottenham Hotspur,   2,3,Wolverhampton Wanderers
Everton,             1,1,Manchester United
Liverpool,           2,1,AFC Bournemouth
Wolverhampton Wanderers,0,0,Brighton & Hove Albion
Arsenal,             1,0,West Ham United
Sheffield United,    1,0,Norwich City
Southampton,         0,1,Newcastle United
Crystal Palace,      1,0,Watford
Burnley,             1,1,Tottenham Hotspur
Chelsea,             4,0,Everton
Manchester United,   2,0,Manchester City
Leicester City,      4,0,Aston Villa
Aston Villa,         0,0,Sheffield United
Manchester City,     3,0,Arsenal
Norwich City,        0,3,Southampton
Tottenham Hotspur,   1,1,Manchester United
Watford,             1,1,Leicester City
Brighton & Hove Albion,2,1,Arsenal
West Ham United,     0,2,Wolverhampton Wanderers
AFC Bournemouth,          0,2,Crystal Palace
Newcastle United,    3,0,Sheffield United
Aston Villa,         1,2,Chelsea
Everton,             0,0,Liverpool
Manchester City,     5,0,Burnley
Leicester City,      0,0,Brighton & Hove Albion
Tottenham Hotspur,   2,0,West Ham United
Wolverhampton Wanderers,1,0,AFC Bournemouth
Newcastle United,    1,1,Aston Villa
Manchester United,   3,0,Sheffield United
Norwich City,        0,1,Everton
Liverpool,           4,0,Crystal Palace
Burnley,             1,0,Watford
Southampton,         0,2,Arsenal
Chelsea,             2,1,Manchester City
Aston Villa,         0,1,Wolverhampton Wanderers
Watford,             1,3,Southampton
Crystal Palace,      0,1,Burnley
Brighton & Hove Albion,0,3,Manchester United
Arsenal,             4,0,Norwich City
Everton,             2,1,Leicester City
AFC Bournemouth,          1,4,Newcastle United
West Ham United,     3,2,Chelsea
Sheffield United,    3,1,Tottenham Hotspur
Manchester City,     4,0,Liverpool
Norwich City,        0,1,Brighton & Hove Albion
Manchester United,   5,2,AFC Bournemouth
Leicester City,      3,0,Crystal Palace
Wolverhampton Wanderers,0,2,Arsenal
Chelsea,             3,0,Watford
Burnley,             1,1,Sheffield United
Newcastle United,    2,2,West Ham United
Liverpool,           2,0,Aston Villa
Southampton,         1,0,Manchester City
